essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
396,1,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, and provide guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
397,1,"Work collaboratively with a team focused on our ads agencies to drive business growth with new and existing customers.
Develop forward thinking, data-driven business growth recommendations that align with industry vertical opportunities and client objectives.
Use comprehensive knowledge of Google's products to align them with client marketing objectives. Advocate for the wider strategic opportunities in relation to AdWords (Search, Video, Display, YouTube, Programmatic) and other solutions.
Ensure implementation and optimization working with cross-functional teams so that client goals and timelines are achieved.",10,9,,10,,,,,,,,,,,,,,,,,,,,,
398,1,"Interact with sales/partner leads and technical stakeholders in order to translate complex customer requirements into recommendations for appropriate solution architectures.
Work with customer technical leads, client executives and partners to manage and deliver successful migrations to cloud-based solutions.
Create programs and template solutions to achieve scalable impact across the customer and partner ecosystem.
Understand customer needs and help to shape Google’s long-term product strategy. Be a champion of Google’s “product innovation story”.",7,7,,7,,,,,,,,,,,,,,,,,,,,,
399,1,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the sales cycle.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews, and help to identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and supporting planning of customer events.",9,9,,7,,,,,,,,,,,,,,,,,,,,,
400,1,"Manage trusted relationships with clients and develop a thorough understanding of their business objectives and challenges.
Identify and pursue opportunities in your book of business, prioritize accounts, handle objections, and evaluate campaign effectiveness.
Manage and cultivate the app install business. Deliver consistently against strategic goals.
Provide outstanding service to clients and troubleshoot advertiser issues.
Contribute to the development of Google’s comprehensive suite of app install ad products.",7,10,,8,,,,,,,,,,,,,,,,,,,,,
401,1,"Manage the book of business and achieve business growth goals on the partner portfolio. Represent the Partner Business Solutions (PBS) organization and work collaboratively with cross-functional colleagues to help drive Google's overall business.
Be the primary point-of-contact for partners around all key areas (e.g., business growth optimization, training, product enhancement, etc.) and lead cross-functional efforts to identify and solve any roadblocks. Create relationships with partners at all levels in the partner organization (including senior executives, direct and indirect sales teams).
Develop and execute on strategic account plans for partners (e.g., growth opportunity identification, action planning, business growth forecasting, etc). Maintain a thorough understanding of the Partner Business Solutions suite and its competitive advantages by actively monitoring the competitive landscape and providing feedback to product development teams.
Represent the PBS organization within the office and work collaboratively with cross-functional colleagues to help drive Google's overall business.",8,9,,9,,,,,,,,,,,,,,,,,,,,,
402,1,"Develop solutions for client business and marketing challenges while also uncovering opportunities; Collaborate with Sales and Sales Operations to innovate and develop scalable solutions cross industry challenges.
Act as an industry advocate and analyst to surface key industry trends; Consult with clients on opportunities associated with trends and potential business impact.
Advise client partners on methodologies for marketing and media analytics, measurement and attribution; Help customers navigate industry standards and alternatives.
Seek out key decision makers, challenge the status quo and influence decisions; Foster client relationships with others in the organization including marketing/advertising, analytics, and corporate strategy, among others.
Partner with internal and external product, research, data and measurement teams to bring full analytical capabilities to customers.",9,10,,7,,,,,,,,,,,,,,,,,,,,,
403,1,"Become the conduit between Google Technical Services managed Vendor teams and the Ads UI Engineering Technical and Program Management teams to manage process excellence for ongoing operations and to drive tools and solutions betterment.
Work with Vendor Managers on process and delivery betterments for ongoing operational needs and be responsible for identifying, escalating and resolving issues rapidly.
Manage velocity by effective communication and collaboration across teams, geographies and time zones. Drive standardization across delivery regions on process and methods so as to ensure consistency in Key Performance Indicators (KPI) delivery, both quality and productivity.
Act as the point of contact for Engineering teams to work on product/process issues that impact the Vendor teams and drive quick traction and communication.
Partner with Engineering teams to carry out root cause analysis based on ongoing needs that come up.",8,7,,10,,,,,,,,,,,,,,,,,,,,,
404,1,"Cultivate and develop relationships with a set of strategic accounts. Connect with key stakeholders within these accounts.
Build and implement strategies to drive business growth.
Develop strategic agreements, leveraging the partner ecosystem.
Engage and coordinate internal groups as well as partners to meet transformation goals for key stakeholders.
Increase the level of visibility of these accounts in the market.",7,7,,9,,,,,,,,,,,,,,,,,,,,,
405,1,"Apply your vertical sales and marketing knowledge to drive incremental growth.
Lead development of scalable sub-vertical narratives that enable success for your team in priority areas.
Lead consumer-focused primary research programs that can unlock new growth opportunities for the vertical.
Advocate storytelling principles and high quality visualization, enabling the vertical to elevate their customer conversations.
Execute on the vertical engagement plan (developed in partnership with the SDM team lead and Industry Director), working in close partnership with Head of Industries, Account Executives, Analytical Leads to deliver on strategic goals.",10,9,,9,,,,,,,,,,,,,,,,,,,,,
406,1,"Prioritize and deliver outstanding customer service experience to Google's advertisers, publishers, and/or users.
Manage customer inquiries by phone, e-mail, and/or live chat.
Implement creative ways to improve our customer and business relationships
Provide strategic and consultative advice and help solve technical issues.",9,8,,9,,,,,,,,,,,,,,,,,,,,,
407,1,"Manage and help grow a portfolio of YouTube creators in the areas of Entertainment, Sports, News, Gaming, Beauty and Fashion, Cooking, Music and more.
Manage a portfolio of creator work accounts towards strategic goals, including maximizing watch time hours, platform engagement, audience growth, community interaction and growth.
Work collaboratively with your team and cross-functional partners to develop and implement creative ways to improve client relationships, grow distribution and drive growth.
Measure and analyze overall creator performance.
Streamline operational workflows and process improvements.",10,7,,10,,,,,,,,,,,,,,,,,,,,,
408,1,"Develop a thorough understanding of the client business challenges and solve client issues proactively and creatively.
Develop forward thinking, data-driven business growth recommendations that align with industry vertical opportunities and client objectives
Use comprehensive knowledge of Google's products to align them with clients marketing objectives and advocate the wider strategic opportunities in relation to AdWords (Search, Video, Display, YouTube, Programmatic) and other solutions.
Ensure implementation and optimization working with cross-functional teams so that client goals and timelines are achieved.
Build strong relationships with customers through deep knowledge of the industry, market landscapes, client products and key business issues that affect the client and industry.",8,7,,8,,,,,,,,,,,,,,,,,,,,,
409,1,"Maximize client business growth by account management and promoting improvement ideas both as a dedicated consultant and through scalable ways. Communicate effectively with Thai speaking clients.
Increase Google AdSense, AdMob and other Google products for partners.
Establish monetization partnerships with new high potential publishers/developers.
Analyze data, trends, and account performance and develop account plans for publishers and country business plans for the market.
Work cross-functionally within Online Partnerships Group (OPG) and also through the wider Google and Global OPG organization. Collaborate with global product development teams to meet local customer expectations, and develop scalable initiatives for the larger pool of publishers to drive business growth and customer satisfaction.",9,7,,10,,,,,,,,,,,,,,,,,,,,,
410,1,"Collaborate with Product, Marketing, Finance, Legal and Compliance teams to develop and refine Go-to-Market strategies.
Build relationships with key partner OEMs and consult on promotional activities and retail activation for key built-in and 'Works with Assistant' products.
Develop Promotion Calendar for each Google Assistant category.
Consult with third-party local OEMs and retailers on funding levels.
Work with Marketing teams to develop channel/ATL campaigns to support the promotions.",8,9,,9,,,,,,,,,,,,,,,,,,,,,
411,1,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, providing additional guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them.",9,8,,10,,,,,,,,,,,,,,,,,,,,,
412,1,"Increase the efficiency of frontline support agents by improving internal Google AdWords documentation.
Oversee content strategy for a selected product area.
Direct vendor writers to create documentation for frontline support agents.
Collect, prioritize and address knowledge feedback.",10,7,,8,,,,,,,,,,,,,,,,,,,,,
413,1,"Lead a team of Sales Representative to achieve maximum business growth, focusing on motivating, enabling and developing the team to be successful.
Develop and implement best practices for your programs and markets, ensuring the team is fully enabled through development and training.
Manage the business operation to operate at scale and provide management support and coaching.
Identify growth projects and programs that can scale and/or 10X the business. Plan and execute programs and work with cross-functional stakeholders in the wider Cloud organization, including Sales, Marketing, Sales Engineering, Product, and Partnerships.
Manage tight, productive relationships with Sales Development, Marketing and partner to drive strategy and execution.",10,8,,10,,,,,,,,,,,,,,,,,,,,,
414,1,"Work towards strategic business goals by maximizing adoption/usage of the DoubleClick Digital Marketing Platform. Lead sales presentations and business reviews to Accounts.
Develop strategic account plans for the customers a specified your portfolio, including growth opportunities identification, action planning, and business growth forecast.
Become the first point of contact for customers around key areas (training, product enhancement, global/regional campaign) and lead cross-functional efforts to identify and solve any issues.
Utilize a consultative approach with focus on building lasting partnerships with clients.
Advocate the media technology both internally and externally; monitor industry trends, competitive landscape, and identify risks to the business, taking preemptive action to mitigate.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
415,1,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, and provide guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them.",9,8,,9,,,,,,,,,,,,,,,,,,,,,
416,1,"Work with head of Telco Partnerships Solutions and cross-functional teams to help align on, and position, Google's cross-functional approach to Telco partners, including overall direction and priorities for the vertical - and package into compelling narratives.
Develop agenda, presentations and briefings for cross-functional strategies, partner summits and industry events.
Activate global and regional communities of practice to upskill in-country teams on industry expertise, share best practices, monitor progress on global/regional vertical specific OKRs.
Work in partnership with the frontline teams working with Telco partners to coordinate and channel industry outreach efforts to advance Google’s thought leadership position across the industry.",9,8,,8,,,,,,,,,,,,,,,,,,,,,
417,1,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the business cycle. Communicate effectively with Southeast Asian speaking clients.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews and help identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and supporting planning of customer events.",9,10,,8,,,,,,,,,,,,,,,,,,,,,
418,1,"Collaborate and consult with agencies in MENA with the goal of extending relationships, increasing our client and agency base and optimizing advertising investment.
Work consistently towards strategic goals on new and existing business, while prioritizing and delivering an outstanding business experience to Google's managed agency partners.
Build compelling, data-driven long-term agency plans leveraging market insights and research. Synchronize agency plans with our agency pod and internal cross-functional teams to further develop our agencies.
Be an ongoing trusted thought partner for executive C/B-level down to specific account teams including Media Planners and Buyers on strategic initiatives and agency-level planning.
Analyze data trends and client performance, develop solid strategic business plans, and prepare and conduct strategic pitches and business presentations.",10,9,,8,,,,,,,,,,,,,,,,,,,,,
419,1,"Identify/prioritize partner targets and GTM structures for G Suite and Google Cloud Platform.
Lead end-to-end partnerships that result in growth and adoption of G Suite and GCP.
Engage with key C-level and internal stakeholders to create new agreement structures and growth opportunities.
Develop joint business plans with partners; be accountable for reaching key growth metrics.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
420,1,"Work with the Sales team to identify and qualify business opportunities. Identify key customer technical objections and develop the strategy to resolve technical impediments to business transactions.
Take responsibility for technical aspects of solutions, including activities such as supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work closely with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight the G Suite value proposition using techniques including whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Deliver recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
421,1,"Define customer-centric and industry-specific use cases. Build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions.
Help partners grow their practice and product portfolio through joint development of solutions and services. Develop and provide custom presentations on Google Cloud Platform technologies to partners to help them achieve strategic goals.
Advocate for Google’s strategy in key industry events.
Develop Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing. Support regional engagement with global and regional partners.",7,7,,10,,,,,,,,,,,,,,,,,,,,,
422,1,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the sales cycle.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews, and help to identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and contribute to the planning of customer events.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
423,1,"Collaborate and consult with agencies with the goal of extending relationships, increasing our client and agency base and optimizing their advertising strategy.
Deliver consistently against assigned targets on new and existing business, while prioritizing and delivering an outstanding business experience to Google's managed agency partners.
Build compelling, data-driven long term agency plans leveraging market insights and research. Synchronize agency plans with our agency pod and internal cross-functional teams to further develop our agencies.
Be an ongoing trusted thought partner for executive C/B-level down to specific account teams including Media Planners and Buyers on strategic initiatives and agency-level planning.
Analyze data trends and client performance, develop solid strategic business plans, and prepare and conduct strategic pitches and business presentations.",9,10,,7,,,,,,,,,,,,,,,,,,,,,
424,1,"Perform statistical analyses on huge data sets to determine trends and develop business insights in order to protect Google’s users.
Utilize machine learning to scale, and optimize and automate our abuse fighting efforts.
Assist with designing and building infrastructure to facilitate analysis and experimentation.
Develop metrics for measuring and understanding Google’s effectiveness at combating fraud. Conduct investigations into sophisticated forms of abuse, take action on fraudsters and close attack vectors.
Translate business needs into data modeling initiatives and work with engineers to put predictive models into production.",7,7,,9,,,,,,,,,,,,,,,,,,,,,
425,1,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, and provide guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them.",10,7,,9,,,,,,,,,,,,,,,,,,,,,
426,1,"Build media strategies for performance product portfolios, and independently draw parallels across an entire book of business and multiple customers.
Prioritize the needs of customers based on opportunity and potential while monitoring and analyzing campaign performance data. Define KPIs in accordance to clients' goals, and use performance metrics to measure opportunity and success.
Lead efforts to improve Google's ad relevance in Brazil.
Work closely with Sales teams and clients, and move fast on maximization requests.
Communicate effectively in internal and external meetings, through email and during sales meetings.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
427,1,"Manage business performance of partners and map partner capabilities and priorities with business goals and strategies to work towards strategic objectives; manage quarterly business reviews with key service partners and Google leadership.
Drive partner value propositions into Partner Sales Manager (PSM) and/or Sales teams, and support PSM’s/Sales teams on complex agreements when needed.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Advocate Google’s strategy at industry events and shape industry agenda and standards; drive and support regional demand generation activities and events with partners.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners.",10,9,,10,,,,,,,,,,,,,,,,,,,,,
428,1,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the business cycle.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews and help identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and supporting planning of customer events.",9,8,,9,,,,,,,,,,,,,,,,,,,,,
429,1,"Work closely with researchers and engineers by providing linguistic expertise and direction for language specific NLU projects and/or dialogue analysis/modeling
Train and/or evaluate NLU or dialogue systems and propose solutions
Propose and run research experiments around linguistic phenomena
Create annotation guidelines and instructions for vendors and junior linguists; at times, recruit, hire and train linguistic experts for short term, high impact projects, as well as manage and oversee a team of junior linguists, vendors and/or remote workers
Monitor data acquisition and curation; design quality control methodology, experiments, implementation and improvements",9,9,,7,,,,,,,,,,,,,,,,,,,,,
430,1,"Work closely with members of the Large Customer Sales (LCS) Accelerator Sector team to ensure sales and implementations of client measurement and attribution strategies. Identify and unlock opportunities within the Sector.
Analyze data in order to understand industry trends and client performance, develop strategic business plans, and prepare and conduct strategic pitches and business presentations.
Develop case studies of campaigns in order to share insights with customers and to serve as an advocate at events and conferences. Champion new product releases, internally and externally.
Collaborate and consult with customers (across markets and geographies) with the goal of extending relationships, increasing our client and agency base and optimizing their advertising investment.
Work cross-functionally within Google and collaborate on projects to drive the adoption of our tracking and measurement solutions as well as sustainable client success.",9,10,,10,,,,,,,,,,,,,,,,,,,,,
431,1,"Apply your vertical sales and marketing knowledge to drive incremental growth
Lead development of scalable sub-vertical narratives that enable your team to achieve in priority areas.
Lead consumer-focused primary research programs that can unlock new growth opportunities for the vertical.
Advocate storytelling principles and best-in-class visualization, enabling the vertical to elevate their customer conversations.
Execute on the quarterly vertical engagement plan (developed in partnership with SDM team lead and Industry head), working in close partnership with Industry Heads, Industry Managers and Analytical Leads to deliver on goals.",10,9,,7,,,,,,,,,,,,,,,,,,,,,
432,1,"Lead and implement go-to-market propositions in a given business sector, pulling together marketing, demand management, solutions, and product and engineering teams to produce a focused proposition for prospects and customers.
Build and maintain relationships to influence long-term strategic direction, and act as a trusted advisor to the customer.
Work with wider Google Account teams to develop and drive pipeline, and to provide guidance. Work with Google Cloud Platform Partners to develop campaigns; build a pipeline of customers within selected verticals.
Collaborate with Google sales engineering and marketing resources, providing input on current collateral materials and ideas on how to improve them to maximize Google Cloud Platform in a given team. Achieve quarterly business growth goals.
Recruit, coach and develop the team.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
433,1,"Consult with Google’s biggest customers to provide data driven UX recommendations to improve the performance of their website/app.
Consult with internal account management teams and customers to track the progress and impact.
Scale learnings from specialist teams.
Travel up to 20% of the time.",8,9,,10,,,,,,,,,,,,,,,,,,,,,
434,1,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Help develop and execute a territory business plan, and build targeted account plans across key verticals, resulting in a robust business growth pipeline.
Execute demand generation activities as needed, and engage, educate, and ensure satisfaction of installed base clients.
Be able to qualify and assist customers in identifying use cases suitable for Google Cloud deployment. Articulate key differentiators and typical customer buying journeys, and generally display a passion for computer science and cloud.
Manage multiple opportunities through the entire business cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all business/adoption-related activities, including the development of strategic agreements.",9,7,,7,,,,,,,,,,,,,,,,,,,,,
435,1,"Ensure all partners in our portfolio are following Google best practices in managing customer AdWords accounts.
Consult with and influence partners to focus on same store growth and retention strategies.
Develop strong client facing relationships in partner Account Management teams.
Develop forward thinking, data-driven analysis and recommendations that align with client goals. Quantify high-impact opportunities and develop clear recommendations to pitch to clients.
Serve as a liaison between clients regarding new product launches and advertising opportunities while ensuring that clients are satisfied with their business growth.",10,8,,7,,,,,,,,,,,,,,,,,,,,,
436,1,"Lead the strategy, planning and coordination of optimization activities. Work with multiple stakeholders to manage the execution of scalable optimization workflows.
Be a performance and digital consultant for customers. Manage and report on the most complex and impactful Search and Display/YouTube campaigns.
Optimize client accounts by analyzing and managing their campaign strategy - across both Search and Display - to improve campaign performance.
Ensure high performance and measure the impact of complex campaigns.
Build thorough knowledge of how clients and agencies can use Google products to meet their marketing objectives across Google Search, Google Display Network and YouTube.",8,10,,10,,,,,,,,,,,,,,,,,,,,,
437,1,"Take responsibility for the account management of your direct clients.
Serve as a liaison with clients regarding new product launches and advertising opportunities.
Coordinate with cross-functional teams to drive new business growth.
Report on sales figures internally.
Provide campaign updates, troubleshoot client challenges and deliver customer training in all Google AdWords tools.",7,7,,8,,,,,,,,,,,,,,,,,,,,,
438,1,"Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver against strategic goals consistently, while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.",8,10,,10,,,,,,,,,,,,,,,,,,,,,
439,1,"Build a pipeline of business through proactive identification of potential new clients in addition to close partnership with our marketing teams.
Consult with C-level clients to achieve national and international online marketing and sales goals through the full suite of Google’s marketing solutions (e.g., YouTube, Google Search and Display Network platforms).
Design high-quality marketing solutions using expert product knowledge to drive long-term success for our customers.
Convert new business to consistently deliver against strategic goals, while prioritizing and delivering an outstanding experience to Google's advertisers within EMEA.",9,9,,9,,,,,,,,,,,,,,,,,,,,,
440,1,"Understand developments/trends in the digital marketing field, provide analytical support, regional strategy and create/maintain business plans.
Develop comprehensive performance analysis and insights through research and analysis of key business drivers, market landscape and key sales and operations metrics.
Perform business forecasting, planning and recommend strategies to management team to scale growth.
Help convert data analysis into presentation of findings and recommendations to management team.
Develop and manage measurement systems for understanding the health of our business and our customers.",7,9,,9,,,,,,,,,,,,,,,,,,,,,
441,1,"Manage and strengthen executive-level agency relations through key meetings, business reviews and speaking engagements. Deliver business growth, engagement and client satisfaction for a portfolio of GMS-managed agencies in an assigned market.
Recruit, retain and lead the team of GMS Sales Development Managers and Account Strategists, to ensure improved same-store-growth, high agency satisfaction and enhanced portfolio health.
Coach a team and help them engage with stakeholders in GMS agencies. Build and actively manage effective long-term agency planning process.
Define the future of agency management and help to develop the necessary infrastructure and processes. Initiate and run strategic initiatives to further develop new and existing GMS agency business.
Work closely with other agency leads and the new business sales teams to align on Objectives and Key Results (OKRs). Partner with New Business Sales teams to define a list of potential prospects, including both new and existing accounts.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
442,1,"Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s Cloud Infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business; develop Google reference architectures and solutions, and commit partner resources to product sales and implementation for end customers.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Manage business performance of partners and map partner capabilities and priorities with Google goals and strategies; drive quarterly business reviews with key service partners and Google leadership.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners.",10,7,,7,,,,,,,,,,,,,,,,,,,,,
443,1,"Use your knowledge of data analytics and predictive and statistical modeling techniques to develop solutions for client business and marketing challenges while also uncovering opportunities. Collaborate with Sales and Sales Operations to innovate and develop scalable solutions across industry challenges.
Act as an industry expert and analyst to surface key industry trends. Consult with clients on opportunities associated with trends and potential business impact.
Advise client partners on methodologies for marketing and media analytics, and measurement and attribution. Help customers navigate industry standards and alternatives.
Identify key decision makers, challenge the status quo and influence decisions. Foster and cultivate client relationships with others in the organization, including marketing/advertising, analytics, and corporate strategy, among others.
Partner with internal and external product, research, data and measurement teams to bring full analytical capabilities to customers.",7,9,,10,,,,,,,,,,,,,,,,,,,,,
444,1,"Work closely with SMB Online Sales team to analyze data across Google Cloud products and regions and bring consistency to web reporting setup, analysis, and data presentation.
Pull and model data from Google Analytics and Google internal data warehouses in order to create quantitative models of business trends and measure impact of online sales growth initiatives.
Execute quantitative analyses that translate data into actionable insights. Provide analytical and data-driven decision-making support for key projects.
Work with Sales Operations, Business Intelligence, Marketing and other stakeholders to establish the right metrics for monitoring the online business.
Communicate findings on a regular basis to all levels of management, including directors across Google Cloud.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
445,1,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Help develop and execute a territory business plan, and build account plans across key verticals, resulting in a robust pipeline.
Execute demand generation activities as needed, and engage, educate, and ensure satisfaction of the installed base.
Be able to qualify and assist customers in identifying use cases suitable for Google Cloud deployment, and articulate key differentiators and typical customer buying journeys. Display a passion for computer science and cloud.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.",10,10,,10,,,,,,,,,,,,,,,,,,,,,
446,1,"Hire, coach and manage a team to work towards assigned goals while prioritizing an outstanding customer experience to customers and prospects.
Create development plans for organization to ensure team members successfully ramp up, deliver and land in a beneficial place for their careers and Google.
Work with the team to find new technical solutions to deliver while seeking ways to automate existing services.
Take responsibility for managing workload distribution balancing the developmental needs of individuals with the collective requirements of constituent businesses.
Prepare and deliver analysis of business trends, draw conclusions based on data, make strategic directional recommendations and conduct pilots to test hypotheses.",8,7,,8,,,,,,,,,,,,,,,,,,,,,
447,1,"Manage the annual and quarterly planning processes, which include the development of the business plan, operating model, resource allocation, market segmentation, vertical prioritization and compensation design.
Work with the cross-functional leadership team (VPs and Directors across Sales, Product, Finance and Marketing) to drive alignment on business goals.
Structure and execute operational and strategic initiatives by developing work plans, gathering and synthesizing relevant data, leading analyses and developing final recommendations.
Own strategic initiatives on both an on-going and ad hoc basis, working collaboratively across the global organization.
Oversee a strong people development agenda, including promoting skill building, setting forward-thinking objectives, collaborating across functions and providing opportunities and coaching on effective business partnering.",8,8,,9,,,,,,,,,,,,,,,,,,,,,
448,1,"Develop a deep understanding of Google's strategy across the full range of advertising products and platforms.
Partner closely with Product, Legal, Marketing and Sales teams to develop new ads related product partnerships (e.g. licensing, technical integration, distribution and technology licensing agreements) from concept to launch.
Identify suitable partners and structure and develop agreements that deliver high-impact strategic relationships.
Manage and optimize ongoing operational aspects of strategic partnerships (e.g. establishing KPIs and enabling partners to achieve them, managing partner service level agreements and payments).",7,7,,8,,,,,,,,,,,,,,,,,,,,,
449,1,"Consult with Google’s biggest customers to provide data driven UX recommendations to improve the performance of their website/app.
Identify new opportunities to increase customer marketing investment efficiently on mobile UX.
Develop high-level relationships to serve as a mobile UX trusted consultant with major customers and agencies to optimize their business growth on mobile.
Simplify and package Google mobile UX solution offering for sales and customers and serve as a liaison with vertical teams and customers regarding new beta tests and product launches.
Support Google mobile UX solution strategies working with the product and global team, providing them with feedback and formulating product asks relevant to Japan market needs.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
450,1,"Create the vision for your team. Develop initiatives and metrics to ensure targets/goals are exceeded.
Lead your team to consistently exceed strategic goals and OKRs. Promote deep understanding of customer needs, the market, the AdWords Platform, competition, our revenue programs, partner teams and the relevant resources available internally/externally.
Train your teams on effective sales pipeline acumen and implementation. Recruit, retain and develop a world-class team.
Promote and ensure the team’s development by inspiring big thinking, fostering creativity, and playing to energy and strengths. Manage and strengthen executive (decision maker) relationships with our largest potential advertisers.
Drive cross-functional collaboration with key partner teams, including regional GMS counterparts, and other internal partner sales teams.",9,10,,8,,,,,,,,,,,,,,,,,,,,,
451,1,"Support partners in integrating their data with Google. Understand how their data is structured and consult them on the best way to integrate with Google.
Provide high touch technical support. Troubleshoot, escalate and respond to product support requests from partnership teams.
Leverage internal tools, logs and data to identify/troubleshoot issues.
Act as liaison for Google Technical Services Product and Tools Operations, internal Google Product/Engineering and development teams by establishing operating processes, reporting cadence and ongoing communications with all stakeholders.
Learn and build expertise in new processes, operational tools and tracking applications. Compile, analyze, and report on relevant partner or support Key Performance Indicators (KPIs). Drive optimizations and seek to reduce cost through tool or process improvements.",9,10,,7,,,,,,,,,,,,,,,,,,,,,
